brand,colour,description,image_urls,images,instock,price,rating,reviews,title
Bosch,not defined,"Optimised tool height for better balance during sanding,Includes 3 sanding sheets,Oscillating circuit diameter: 2 mm",https://images-na.ssl-images-amazon.com/images/I/61YaZVS35gL._SL1000_.jpg,"[{'url': 'https://images-na.ssl-images-amazon.com/images/I/61YaZVS35gL._SL1000_.jpg', 'path': 'full/a5511300a1e0911fc7ab6502012361f94d10a576.jpg', 'checksum': '14f35d2be60602bd06ff446d102ac7dd'}]",True,"₹ 4,179.00",4.3 out of 5 stars,"Overall quite happy with the sander. Have been using it for a few days now and works fine.,Not too heavy, good grip for single and two handed use.,Only downside is the clamps for attaching the sandpaper are not very convenient to use. Require quite a bit of force to hold open with one hand while sliding in the sand paper with the other. If the paper is thick it is a bit difficult to do.,Would have been much better if it had a clip which stays open on its own and can be clamped down once the paper has been put in place.,Very useful, very powerful, handy. No power adjustment ( only one speed). Aesthetically not apealing compared to other Bosch products. Operating switch and lock for continues mode are very close and while holding firmly, the lock gets activated automatically, which I feel bit annoying sometimes, but overall its good. Other concern is noise level which is bit more than rotating orbital sander, but bearable. Its worth having in one's power tool collection.,It is a good quality product and does what it states, however, I found it too slow. It just vibrates a few millimeters and takes a lot of time to get the job done. Manually, I can do the job much faster but then I end up tiring myself. Anyway, I'm sure this product has a purpose.,excellent handy single speed sanding machine. better than circle type. saves money on grit paper,Do the work its made for !!,Nice product by Bosch !!,Fantastic product good sander , will definetly recommend for wood worker,Best Qulty good work finishing thanks Bosch &amozan good product,Used it for around a month. Works well.",Bosch GSS2300 Orbital Sander 190W
Bosch,not defined,"Powerful machine with 670W brush motor; slim; lightweight design provides fatigue-free working; reducing risk of mistakes and injury; supplied with guard and side handle,2 position side handle all-metal gearbox fan-cooled motor spindle lock; lock on switch; replaceable carbon brushes; supplied with guard,Disc diameter 100 millimeter; no load speed 11000rpm; spindle thread M10; overall length: 350 millimeter,Warranty - 6 months from the date of invoice (provide invoice copy to claim warranty),For any queries please contact_us on: [ 1800-425-8665 ]",https://images-na.ssl-images-amazon.com/images/I/7105r96ivXL._SL1500_.jpg,"[{'url': 'https://images-na.ssl-images-amazon.com/images/I/7105r96ivXL._SL1500_.jpg', 'path': 'full/ae314e296a036b056b064bab321e796e0d2cd197.jpg', 'checksum': '29282c596b594ffd85e15eb24716e7c3'}]",True,"₹ 1,899.00",4.2 out of 5 stars,"The machine came with broken start button and without full accesorios. It can not be started and cutting wheels can't be mounted. Looking for switch and other accessories in market otherwise have to return back .,Update on 14:10:2018,After procuring accessories and fixing start switch I used the machine but it stopped working after half an hour of use. However no heating issue was observed during use.,My Verdict- Don't go for it.,Quality is dubious. Bearing went off in 2 days. Had to get it repaired locally. Else waiting for warrenty may stall the work. Better go for locall mades, as they are cheaper to maintain and repair.,Booom happen when I start this,I only use 15 mins !,Armature coil burns !,Think 🤔 I think I got refurbished machine,Protection guard cover fittings is wrong as shown in photographs, I tried to correct but grove of protection guard & grove of base mounting arrangement are like that as shown. Now, cover protection need towards auxiliary handle either left or right.,Packing was torn and wrapped by tape. Product has been changed. Part no. Is different from mentioned on box.,After using 3&1/2 months it's working super fine no. Any issue yet. Good for small & light weight iron cutting. Go for it.,I purchased this as the ""Made in India"" label was displayed in the listing photographs.,But now-a-days, buying Bosch tools are becomming a hit-or-miss. This was a decided miss, making me wonder if a ""Made in China"" DeWalt would have been better choice.,The box was torn, the tool did NOT have a pleasent smell out of the box (it was stinking). The tool itself was DIRTY and grimy (was it used previously in a slum environment?). The casing screws were loose. The plastic casing moves even when fully tightened.,For a low-powered, entry level tool (home, DIY buyers), not even a cut-off wheel or grinding disc was included.,I should consider looooooonnng and haaaaaarrd before buying another Bosch tool. A few years back ""Bosch"" was a default choice. NOT anymore!,EDIT: Did anyone mention the plug? It LOOKS like an European (German) 2 pin plug, but the pins and the pitch are the wrong dimensions, meaning, it will not fit in a proper German socket. It will, however, fit an Indian socket comfortably... I would never have expected BOSCH of all manufacturers to add to the plug/ socket confusion, but they did.,EDIT 2: In this day and age, the wheel guard is attached to the tool with a FLAT head screw! Really Bosch, haven't you heard of Torx or at least socket head (hex) or Philips head screws? I can never understand Bosch-India's fetish for straight head screws/ bolts.,EDIT 3: After using this grinder several times, I truly regret buying it instead of the Dewalt.,EDIT 4: I opened the gearbox and the bevel gears were BONE DRY. Not a whiff of grease. No wonder it was getting hot almost instantly on switching on. This your thing Bosch?,I hate this.,Armature broken with in a month.,Warranty not eligible in that case.,Worst experience",Bosch GWS 600 Professional Angle Grinder (Blue)
Bosch,not defined,"Flexible and fatigue-free for long hour work even for overhead operation,Great ergonomic design with multi grip options,Low vibration and low weight,Very high compatibility of carbon brush and commuter, carbon brush life time up to 300 hours,Robust and convenient clamping system",https://images-na.ssl-images-amazon.com/images/I/81SyDhs9U8L._SL1500_.jpg,"[{'url': 'https://images-na.ssl-images-amazon.com/images/I/81SyDhs9U8L._SL1500_.jpg', 'path': 'full/28f9c4ff6210e65184f127c99e4a47b28742fd56.jpg', 'checksum': 'ddc849220e939d70bf954a106c956328'}]",True,"₹ 2,850.00",3.6 out of 5 stars,"Awesome work response.,It completes my requirement.,Pros is its compactness  but the problem is its low vibration ..only meant for light sanding.. black & decker a cheaper version performs better than this.,Not the best but no bad,Not good,Excellent,Both sides lock holder Brocken after using one week.",Bosch 06012A80F0 GSS140 Professional Orbital sander
DCA,not defined,"Rated Power Input : 160W,Orbits Frequency: 10000(../min),Pad Size: 93*185mm,Net Weight: 1.7kg,Package Dimensions (L*W*H cms) : 30.48 * 11.43 * 17.78",https://images-na.ssl-images-amazon.com/images/I/51mCnoGITxL._SL1065_.jpg,"[{'url': 'https://images-na.ssl-images-amazon.com/images/I/51mCnoGITxL._SL1065_.jpg', 'path': 'full/ff20b9037ad14dd1cbfaa86f75da144791a56f98.jpg', 'checksum': '2bc81044f7b8e2d620a71a2c0e88c6ba'}]",True,"₹ 1,644.00",3.2 out of 5 stars,"This is the not wood scrapper this is just wood smooth or you can say,Good",DCA ASB185 Orbital Sander (93 * 185mm) 160W
DONGCHENG,not defined,"-Easy Tu Use And Carry,-Model No. DSB185,-Color : Blue,-Rated Power Input (W)-500,High Quality Material",https://images-na.ssl-images-amazon.com/images/I/51oCmbDZMAL._SL1000_.jpg,"[{'url': 'https://images-na.ssl-images-amazon.com/images/I/51oCmbDZMAL._SL1000_.jpg', 'path': 'full/6b241b46c913d788bbc087ffb383a723286031b0.jpg', 'checksum': '2a4e854235302b76ea7c31a34809d3cd'}]",True,"₹ 1,599.00",5.0 out of 5 stars,Purchased from outside shop but at 2000 better I had taken from Amazon for 1599 Machine is very powerful handed over to Guys doing sanding of wall and Wood worked really well Highly recommended,Dongcheng (DSB185) Orbital Sander - Blue
TRADITIONS,not defined,"Covers Up to 8x surface,Easy to use,Ultra Low Cost",https://images-na.ssl-images-amazon.com/images/I/71wTAn-o%2B6L._AC_SL1500_.jpg,"[{'url': 'https://images-na.ssl-images-amazon.com/images/I/71wTAn-o%2B6L._AC_SL1500_.jpg', 'path': 'full/ab5aef425302f9972aa540ed381237775f481ce9.jpg', 'checksum': 'fdc1ca504f02e503797a3db26d0e0208'}]",True,₹ 275.00,3.4 out of 5 stars,"Very cheap quality product.difficult in replacing sanding paper.made up of poor materials.cost is too high.the map is 190. But they have replaced it with 399.,This is very sturdy and a well made product. I use it for sanding my walls. However, it is somewhat troublesome when changing the sandpaper. It tends to slip when working fast. The paper also tears if somewhat force is used. I use it for sanding and removing paint, and it works well.,Very handy tool for sanding ,light weight,prefer one in smaller size too.also suggest to make in first quality plastic and more sturdy for durability ; useful sand paper holder .I use for carpentry hoppy application, painters also can use .,Locks get open, when using,Excellent product and quality is also good.,Don't buy. Quality very low. Not possible to work.,Good product,,good",TRADITIONS Peacock DRYWALL Hand Sander
Black & Decker,not defined,"Power: 820 watts, Cutting Wheel Size: 100 mm (4-Inch), Speed: 11,000 rpm, Spindle Size: M10, Cable: 2m,820 watts powerful motor makes grinding and cutting operations run smoothly,Runs at 11000 rpm making all grinding operations easy and fast,Body Grip: The body of this tool is layered with a special material that offers a firm hold as you work with it.,Ideal for metal grinding, polishing and stone, granite and metal sheet cuttings,Dust sealed switch,Lock on switch for continuous use,3 Position side handle,Package Contents: Angle grinder, Side handle and Wrench,Warranty: 6 months comprehensive on the product",https://images-na.ssl-images-amazon.com/images/I/91Ks1zY6UBL._AC_SL1500_.jpg,"[{'url': 'https://images-na.ssl-images-amazon.com/images/I/91Ks1zY6UBL._AC_SL1500_.jpg', 'path': 'full/65bb068cc8294ed4cf2b1d721b00bb1c7f6128ee.jpg', 'checksum': '9c5f722bd709286315696678d8c2eeea'}]",True,"₹ 1,618.00",4.2 out of 5 stars,"Few things to say, if you're gonna pick this.,A) Check the discs and don't scratch your head. When you'll check the box, it reads 100mm. But you'll find 90% of the useful discs measure 110 mm.,Don't panic, 110 too fit. Just make sure you buy a good make and see to it that you use WASHERS .,Only the guard appears to be too close to the discs.,For Christ sake, DON'T REMOVE THE GUARD.,Heats up quick, but doesn't heat like frying the motor.,Didn't like the placement of the switch, would be better if it was near the cord.,Cuts like butter, and it's POWERFUL, not like the old B&D products we are used to.,I bought it for ₹1799/- lightning deal on 6th October '18 and now in just 1 week its new lightning deal price has reduced to ₹1599/-!! What the heck!!??,Anyway the grinder is of good quality. I am using it with a voltage regulator/speed controller from Xcluma to reduce/control the speed of the grinder for various applications like polishing, buffing, and even cut wood at a lower RPM of about 4000 - 5000 rpm.. I have used it regularly for the past 2 weeks without any problems so far., I have removed 1 star because nothing can be perfect.,There are few things I don't like about this grinder,1. There is too much(way too much) vibration,2. The placement of the switch, it should have been near the cord somewhere at the bottom.,Update: Now the price has again reduced to ₹1399/-  WTF?! Lol  I think this is discriminatory pricing by amazon. Anyway still a great product. I wish I bought this for ₹1399/- instead of what I paid which was ₹1799/-, could have saved ₹400/- more,Black and Decker Angle Grinder is very good in terms of speed, functionality and usability. A great deal to buy for Rs 1699/- but owing to it's size and speed it should be use carefully as the switch sometimes get struck while shutting down the machine.,But the packaging done was completely torned and package was open.,Please consider to have a good packaging before ordering,A straight NO to the product. I have purchased two of these recently. initially (when sparingly used)the grinder did not display any signs of trouble but when the product was actually put to test with long hours of operation both the products failed to operate for more than a few days. I did not worry about it as the item was under warranty. I contacted customer service regarding the issue and was provided a number for local service incharge who further directed me to a local repair shop mentioning it's their authorised repair centre located near goregaon station. The grinder was handed over and after more than 10 days of follow up and blunt excuses the product was allegedly repaired and the owner of the shop demanded payment for the repair job. Once the warranty situation was explained the owner asked for all sorts of warranty documents and bills, once all of these were produced the owner of the shop said the its replaced are not covered under warranty. We paid the owner which was half the grinders cost, money was not an issue here but the dubious nature of service made us feel cheated. Both machines stopped working within the next two days. we have bought two grinders for local trusted dealer and seems to be working fine till date and is waranteed under repair and part replacement for a year. Lost faith in Black and Decker brand name. Would advice to stay away from the product and suggest buying machine tools from trustes local seller, the cheap price is not worth the trouble.,It worked well in the beginning, got wrecked within a week. The carbon brush is not available in Local market. Hence, my product is of no use anymore. Pathetic service !!,Excellent Tool. This is not actually for ordinary people. Very Powerfull. I Cut Iron, Pipe, Grind rust, and plane wood. Due to its heavy duty nature and the power, one must take utmost care not to harm yourself. Do not let children play with it.,Its heavy. Got the product as shown in the picture. Do not use without the round protective cover.,Package contained Angle Grinder, Allen Key, and another tool for tightening nut. Its power cable is made of Good Quality.,I used it for Short sessions. Its motor sound is bit higher.,Amazon service was excellent. Product delivered on time.,This is a great utility tool that you must have for wood works and for cutting pipes! The product is very sturdy and is powerful. You need to really handle with extra caution as it has a powerful motor and if you are not holding it properly, you may get hurt.,Use less item, pl don't buy it, it burned out with in 10 minutes of use. The supplier , Cloudtail is selling fake Chinese items pl don't buy from them. Service centers are refusing to accept for repair/service",Black & Decker G720R 4-Inch/100mm 820-Watt Angle Grinder
Bosch,not defined,"Sanding pad brake prevents damage (e.g. scoring) on workpiece,Random orbit motion plus rotation ensure the finest finish with high sanding performance,Velcro-type fastening for rapid, convenient sanding sheet changes,Voltage :240 V , Sanding paper : K80,Colour: Blue",https://images-na.ssl-images-amazon.com/images/I/915NKwY2OoL._SL1500_.jpg,"[{'url': 'https://images-na.ssl-images-amazon.com/images/I/915NKwY2OoL._SL1500_.jpg', 'path': 'full/8fc3f90def1407355b2c53f08fadfe9b3fd17ca0.jpg', 'checksum': 'e19c4d33767b4a6752316c84512196f8'}]",True,"₹ 4,999.00",4.1 out of 5 stars,"This is my first sander so I cannot comment on whether this the best sander out there.. Having said that this does a good job..,Although brand new, the product I received was dirty as mentioned in every other comment..,Works as its supposed to, butter smooth performance. Grip is quite good but pistol style holding is not possible. 125mm pads are easy to get but the high quality ones come without holes, only the red low q come with them. Dust collection is ok, but not all can possibly be collected, which is ok.,1. durable,2. handy and compact, easy to drive,3. no scorch marks,4. good quality plastic,5. easy pad change on velcro,6. velcro base needs replacing and hard to find.,An excellent product for someone who is interested in  woodworking. Will suggest buyers to buy Sander disks of various grades from their local store where it cost only rupees 10 per sheet and not online where one buys for 130. The product gets sanding done in a jiffy.,Product is goos when comes to doing its job. High speed vibration however caused tingling in my palm and fingers for sometime. It is not a good idea to use holed grits with it because even original bosch grit that came with it caused weird marks on the surface due to the punched holes.  I received a very dirty piece with damaged packing. The package was not in Amazon box. The bosch box was damaged and the machine was bare inside it without any protection or cover. Did not expect this. The pain point is getting fine grits for this machine. Local shops do not have them and online they are very expensive and not available in right combinations. Not very happy.,The product received was dirty as if it was sitting on a shelf for a very long time. Its just unacceptable that care was not taken to even clean it.,No accessories available.only 250 watt motor.which is not powerfull .buy local palisher.works very fine.i trust bosch bt bosch should be work  on what they made and also on cost too much expensive.i buy polishing machine at 2200 rs only,Superb product. Was able to bring an old bench to life using the Sander.,The product is not as good as I had expected. Angle grinder would be the better option rather than going for this high tech product specially in the matter of sanding work because of its higher level of sanding motor capacity. However, it does not have sand dust intake capacity, we need to adopt all round precaution for the safety and smoothness of the work environment On the contrary Bosch 125 has earned the reputation in that matter. I cannot and could not hesitate to give 5 out of 5 points only on the easy handling and smoothness in working environment. It has a very good saw dust even the smallest particles suction inbuilt capacity so much so that you feel very much comfortable yourself enough to work with this machine the whole day. Above all, comparing its sturdiness with angle grinder in the matter of wood sanding work, the product manager should look into the matter thoughtfully and with sublimity otherwise the Bosch 125 is incomparable and unbeatable product to any other products who suppose to claim their product to be the best one.",Bosch GEX 125-1 AE Random Orbit Sander
IBELL,not defined,"Fast material removal - Gets the job done quicker due to large orbit size and high number of oscillations,Compact in height - Allows you to get closer to the work surface for greater comfort and control.,Effective Dust Management - For maximum pick-up and a cleaner work area.,Soft Rubber Grip for greater comfort when sanding for long periods of time,Switch Action includes Lock Button And Switch Trigger , Using Speed adjusting Dial tool speed can be infinitely adjusted from 4000 to 11000 orbits per minute",https://images-na.ssl-images-amazon.com/images/I/718hPW6xq5L._SL1500_.jpg,"[{'url': 'https://images-na.ssl-images-amazon.com/images/I/718hPW6xq5L._SL1500_.jpg', 'path': 'full/6edc70d04a9e519e6b4b738a58252084ded43471.jpg', 'checksum': '78ec6d7bbbec9bb5c2a11d543b3ae758'}]",True,"₹ 2,630.00",4.4 out of 5 stars,"Very good sanding with speed control function. Rotation is random so no visible circles remain on the finishing surface. Its self dust collector is also good. The housing of the sander is tough and solid.,I used this to finish metal surface and smooth putty. This product is really amazing in this budget. Those who want to buy bosch and othe expensive brands, plz go for this . Strongly recommended . This image shows the finishing. After heavy usage its 2 bearings got jam. Replced in local market in ₹350 and its started working well.,During warrenty it takes 15-20 dags to repair without any cost,Just received. Tested. It works ok. Amazon delivery was fast in neat packing. There was a Velcro sandpaper so that I could test instantly. Result of. Price is quite reasonable. Moreover ibell support team is cordial and attentive. For future services,as I learned, they would pick up through courier and return after servicing. Overall, a feel-good experience. More to say after prolonged use.,Random orbital sander is a must for any wood worker and iBell has made a great one. Variable speed options lets you choose speed that you want and operate as per need. Since the motiin is circular you have to sand pieces together before joining them else you will not be able to sand the corners.,I founx the issue with the dust collection bag. It doesn't fit properly in the outlet. I tried so hard but it kept slipping off. Finally, I removed the bag for some usage but its very unsafe to use sander without dust bag. If they can improve this mechanism it will be a great product,This is just the right tool for getting that perfect finish to your wood works since it has speed controls and a random orbital motion which does not leave any marks on the surface. The best part is the dust extraction and collection feature, for which a small dust bag is provided as attachement, which is an added advantage for someone looking to minimise indoor as well as outdoor air pollution caused by construction work, and avoid its ill effects on the health of the workmen as well as people residing in and around the place.,I was sceptical about buying a Chinese tool and the availability of after sales service, but a conversation with the company executive found satisfactory answers to all my queries, and the added reassurance is the availability of pick up and delivery across most pin codes in India for servicing and repairs.,Some grits of 5"" sand paper for sanding are available with the company, but for polishing you need to buy a velcro polishing pad of 5"" size from your local hardware store and attach it to the velcro disk of this machine.,The motor revs sounded good, and the random orbital motion is observable on a dry run. I'll update about the endurance of this machine after adding more work load in about 2 months time.,I placed an order for this item on 04/03/2019 and it was delivered on 06/03/2019. The packing was impeccable. After receiving the package containing this item, the instructions are easy to understand and upon using it, I was amazed that the product delivered a superlative performance as was expected. I will recommend this item to anyone, who is interested in doing Home DIY projects. I will also upload pictures of a DIY project viz. a Blanket/Mattress/ Quilt Box shortly which came out very nice as per my expectations.,The sander is as per spec and good to work wirh. Excellent value for money.,I just bought this product and did not use extensively, based on the initial checks, it does Very good sanding with speed control function and without much noise. The delivery speed was good. iBELL can improve the quality of the dust collection bag, small dust particles are coming out of the bag as the bag is breathable. Appreciate if they can increase the size of the dust bag as well. Thank you iBELL for the good and reasonable product.","iBELL Orbital Sander OS23-46,Watt 300,125mm,12000RPM - 6 Months Warranty"
IBELL,not defined,"Fast material removal - Gets the job done quicker due to large orbit size and high number of oscillations,Compact in height - Allows you to get closer to the work surface for greater comfort and control.,Effective Dust Management - For maximum pick-up and a cleaner work area.,Soft Rubber Grip for greater comfort when sanding for long periods of time,Switch Action includes Lock Button And Switch Trigger , Using Speed adjusting Dial tool speed can be infinitely adjusted from 4000 to 11000 orbits per minute",https://images-na.ssl-images-amazon.com/images/I/718hPW6xq5L._SL1500_.jpg,"[{'url': 'https://images-na.ssl-images-amazon.com/images/I/718hPW6xq5L._SL1500_.jpg', 'path': 'full/6edc70d04a9e519e6b4b738a58252084ded43471.jpg', 'checksum': '78ec6d7bbbec9bb5c2a11d543b3ae758'}]",True,"₹ 2,630.00",4.4 out of 5 stars,"Very good sanding with speed control function. Rotation is random so no visible circles remain on the finishing surface. Its self dust collector is also good. The housing of the sander is tough and solid.,I used this to finish metal surface and smooth putty. This product is really amazing in this budget. Those who want to buy bosch and othe expensive brands, plz go for this . Strongly recommended . This image shows the finishing. After heavy usage its 2 bearings got jam. Replced in local market in ₹350 and its started working well.,During warrenty it takes 15-20 dags to repair without any cost,Just received. Tested. It works ok. Amazon delivery was fast in neat packing. There was a Velcro sandpaper so that I could test instantly. Result of. Price is quite reasonable. Moreover ibell support team is cordial and attentive. For future services,as I learned, they would pick up through courier and return after servicing. Overall, a feel-good experience. More to say after prolonged use.,Random orbital sander is a must for any wood worker and iBell has made a great one. Variable speed options lets you choose speed that you want and operate as per need. Since the motiin is circular you have to sand pieces together before joining them else you will not be able to sand the corners.,I founx the issue with the dust collection bag. It doesn't fit properly in the outlet. I tried so hard but it kept slipping off. Finally, I removed the bag for some usage but its very unsafe to use sander without dust bag. If they can improve this mechanism it will be a great product,This is just the right tool for getting that perfect finish to your wood works since it has speed controls and a random orbital motion which does not leave any marks on the surface. The best part is the dust extraction and collection feature, for which a small dust bag is provided as attachement, which is an added advantage for someone looking to minimise indoor as well as outdoor air pollution caused by construction work, and avoid its ill effects on the health of the workmen as well as people residing in and around the place.,I was sceptical about buying a Chinese tool and the availability of after sales service, but a conversation with the company executive found satisfactory answers to all my queries, and the added reassurance is the availability of pick up and delivery across most pin codes in India for servicing and repairs.,Some grits of 5"" sand paper for sanding are available with the company, but for polishing you need to buy a velcro polishing pad of 5"" size from your local hardware store and attach it to the velcro disk of this machine.,The motor revs sounded good, and the random orbital motion is observable on a dry run. I'll update about the endurance of this machine after adding more work load in about 2 months time.,I placed an order for this item on 04/03/2019 and it was delivered on 06/03/2019. The packing was impeccable. After receiving the package containing this item, the instructions are easy to understand and upon using it, I was amazed that the product delivered a superlative performance as was expected. I will recommend this item to anyone, who is interested in doing Home DIY projects. I will also upload pictures of a DIY project viz. a Blanket/Mattress/ Quilt Box shortly which came out very nice as per my expectations.,The sander is as per spec and good to work wirh. Excellent value for money.,I just bought this product and did not use extensively, based on the initial checks, it does Very good sanding with speed control function and without much noise. The delivery speed was good. iBELL can improve the quality of the dust collection bag, small dust particles are coming out of the bag as the bag is breathable. Appreciate if they can increase the size of the dust bag as well. Thank you iBELL for the good and reasonable product.","iBELL Orbital Sander OS23-46,Watt 300,125mm,12000RPM - 6 Months Warranty"
